,index,0,1
0,0,Sozialdemokratische Partei Österreichs,AMTSAUSSTATTUNG GBG
1,1,Österreichische Volkspartei,AMTSAUSSTATTUNG
2,2,Die Grünen - Die Grüne Alternative,AKTIVIERUNGSFÄHIGE RECHTE
3,3,Freiheitliche Partei Österreichs,INVESTITIONSDARLEHEN VON KREDITINSTITUTEN
4,4,BZÖ-Mag. Ewald Stadler,GERINGWERTIGE WIRTSCHAFTSGÜTER D.ANLAGEVERMÖGENS GBG
5,5,Kommunistische Partei Österreichs,GERINGWERTIGE WIRTSCHAFTSGÜTER D.ANLAGEVERMÖGENS ITG
6,6,Unabhängige Bürgerinitiative Rettet Österreich,GERINGWERTIGE WIRTSCHAFTSGÜTER D.ANLAGEVERMÖGENS
7,7,Liberales Forum,"HANDELSWAREN POKALE, EHRENPREISE U.DGL."
8,8,Die Christen,HANDELSWAREN
9,9,Bürgerforum Österreich Liste Fritz Dinkhauser,FERTIG BEZOGENE TEILE GBG
10,10,Sozialdemokratische Partei Österreichs,FERTIG BEZOGENE TEILE
11,11,Österreichische Volkspartei,REINIGUNGSMITTEL
12,12,Die Grünen - Die Grüne Alternative,REINIGUNGSMITTEL GBG
13,13,Freiheitliche Partei Österreichs,"SCHREIB-,ZEICHEN- UND SONSTIGE BÜROMITTEL"
14,14,BZÖ-Mag. Ewald Stadler,"SCHREIB-,ZEICHEN- UND SONSTIGE BÜROMITTEL"
15,15,Kommunistische Partei Österreichs,DRUCKWERKE KOPIERSERVICE - MDPA
16,16,Unabhängige Bürgerinitiative Rettet Österreich,DRUCKWERKE
17,17,Liberales Forum,SONSTIGE VERBRAUCHSGÜTER GBG
18,18,Die Christen,SONSTIGE VERBRAUCHSGÜTER
19,19,Bürgerforum Österreich Liste Fritz Dinkhauser,GELDBEZÜGE DER BEAMTEN DER VERWALTUNG
20,20,Sozialdemokratische Partei Österreichs,GELDBEZÜGE DER BEAMTEN DER VERWALTUNG
21,21,Österreichische Volkspartei,GELDBEZÜGE DER VERTRAGSBEDIENSTETEN DER VERWALTUNG
22,22,Die Grünen - Die Grüne Alternative,GELDBEZÜGE DER VERTRAGSBEDIENSTETEN DER VERWALTUNG
23,23,Freiheitliche Partei Österreichs,GELDBEZÜGE DER NICHT GANZJÄHRIG BESCHÄFTIGTEN ANGE
24,24,BZÖ-Mag. Ewald Stadler,REISEGEBÜHREN
25,25,Kommunistische Partei Österreichs,SONSTIGE AUFWANDSENTSCHÄDIGUNGEN
26,26,Unabhängige Bürgerinitiative Rettet Österreich,MEHRLEISTUNGSVERGÜTUNGEN
27,27,Liberales Forum,MEHRLEISTUNGSVERGÜTUNGEN
28,28,Die Christen,BELOHNUNGEN UND GELDAUSHILFEN
29,29,Bürgerforum Österreich Liste Fritz Dinkhauser,SONSTIGE NEBENGEBÜHREN
30,30,Sozialdemokratische Partei Österreichs,DGB ZUM AUSGLEICHSFONDS FÜR FAMILIENBEIHILFEN
31,31,Österreichische Volkspartei,DGB ZUM AUSGLEICHSFONDS FÜR FAMILIENBEIHILFEN
32,32,Die Grünen - Die Grüne Alternative,SONSTIGE DGB ZUR SOZIALEN SICHERHEIT
33,33,Freiheitliche Partei Österreichs,SONSTIGE DGB ZUR SOZIALEN SICHERHEIT
34,34,BZÖ-Mag. Ewald Stadler,SONSTIGE DGB ZUR SOZIALEN SICHERHEIT
35,35,Kommunistische Partei Österreichs,FREIWILLIGE SOZIALLEISTUNGEN (NUR BARLEISTUNGEN)
36,36,Unabhängige Bürgerinitiative Rettet Österreich,STROM
37,37,Liberales Forum,WASSER
38,38,Die Christen,WÄRME
39,39,Bürgerforum Österreich Liste Fritz Dinkhauser,INSTANDH. VON SONSTIGEN GRUNDSTÜCKSEINRICHTUNGEN
40,40,Sozialdemokratische Partei Österreichs,INSTANDH. VON GEBÄUDEN
41,41,Österreichische Volkspartei,INSTANDH. VON GEBÄUDEN GBG
42,42,Die Grünen - Die Grüne Alternative,INSTANDH. VON GEBÄUDEN
43,43,Freiheitliche Partei Österreichs,INSTANDH. VON GEBÄUDEN
44,44,BZÖ-Mag. Ewald Stadler,INSTANDH. VON GEBÄUDEN WB
45,45,Kommunistische Partei Österreichs,INSTANDH. VON SONSTIGEN ANLAGEN
46,46,Unabhängige Bürgerinitiative Rettet Österreich,PERSONEN- UND GÜTERTRANSPORTE
47,47,Liberales Forum,PERSONEN- UND GÜTERTRANSPORTE HOLDING
48,48,Die Christen,PERSONEN- UND GÜTERTRANSPORTE TAXIBENÜTZUNG
49,49,Bürgerforum Österreich Liste Fritz Dinkhauser,POSTDIENSTE
50,50,Sozialdemokratische Partei Österreichs,TELEKOMMUNIKATIONSDIENSTE
51,51,Österreichische Volkspartei,TELEKOMMUNIKATIONSDIENSTE
52,52,Die Grünen - Die Grüne Alternative,ZINSEN FÜR FINANZSCHULDEN - INLAND
53,53,Freiheitliche Partei Österreichs,VERSICHERUNGEN
54,54,BZÖ-Mag. Ewald Stadler,MIETZINSE
55,55,Kommunistische Partei Österreichs,MIETZINSE BEZIRKS- UND STADTTEILVERSAMMLUNGEN
56,56,Unabhängige Bürgerinitiative Rettet Österreich,MIETZINSE ITG
57,57,Liberales Forum,MIETZINSE LEASINGRATEN
58,58,Die Christen,MIETZINSE
59,59,Bürgerforum Österreich Liste Fritz Dinkhauser,MIETZINSE
60,60,Sozialdemokratische Partei Österreichs,"ÖFFENTLICHE ABGABEN, OHNE GEBÜHREN GEMÄSS FAG."
61,61,Österreichische Volkspartei,BEZÜGE DER GEWÄHLTEN ORGANE STADTSENATSMITGLIEDER
62,62,Die Grünen - Die Grüne Alternative,BEZÜGE DER GEWÄHLTEN ORGANE GEMEINDERÄTE
63,63,Freiheitliche Partei Österreichs,BEZÜGE DER GEWÄHLTEN ORGANE BEZIRKSVORSTEHER
64,64,BZÖ-Mag. Ewald Stadler,BEZÜGE DER GEWÄHLTEN ORGANE REISEGEBÜHREN
65,65,Kommunistische Partei Österreichs,BEZÜGE DER GEWÄHLTEN ORGANE ABFERTIGUNGEN
66,66,Unabhängige Bürgerinitiative Rettet Österreich,BEZÜGE DER GEWÄHLTEN ORGANE ZUSCHÜSSE
67,67,Liberales Forum,ENTGELTE FÜR SONSTIGE LEISTUNGEN
68,68,Die Christen,ENTGELTE FÜR SONSTIGE LEISTUNGEN GBG
69,69,Bürgerforum Österreich Liste Fritz Dinkhauser,ENTGELTE FÜR SONSTIGE LEISTUNGEN ITG
70,70,Sozialdemokratische Partei Österreichs,ENTGELTE FÜR SONSTIGE LEISTUNGEN GBG-REINIGUNG
71,71,Österreichische Volkspartei,ENTGELTE FÜR SONSTIGE LEISTUNGEN ITG
72,72,Die Grünen - Die Grüne Alternative,ENTGELTE FÜR SONSTIGE LEISTUNGEN GBG
73,73,Freiheitliche Partei Österreichs,ENTGELTE FÜR SONSTIGE LEISTUNGEN GBG
74,74,BZÖ-Mag. Ewald Stadler,ENTGELTE FÜR SONSTIGE LEISTUNGEN
75,75,Kommunistische Partei Österreichs,ENTGELTE FÜR SONSTIGE LEISTUNGEN TAGUNGSGEBÜHREN
76,76,Unabhängige Bürgerinitiative Rettet Österreich,ENTGELTE FÜR SONSTIGE LEISTUNGEN
77,77,Liberales Forum,LFD. TRANSFERZAHLUNGEN AN LÄNDER UND LANDESFONDS
78,78,Die Christen,LFD. TRANSFERZ. AN SONST.TRÄGER D.ÖFFENTL.RECHTS
79,79,Bürgerforum Österreich Liste Fritz Dinkhauser,LFD. TRANSFERZ. AN PRIV.ORGANISATIONEN O.ERWERBSZW
80,80,Sozialdemokratische Partei Österreichs,PENSIONEN UND SONSTIGE RUHEBEZÜGE (EINSCHL.DG-BEIT
81,81,Österreichische Volkspartei,AMTSAUSSTATTUNG
82,82,Die Grünen - Die Grüne Alternative,AMTSAUSSTATTUNG GBG
