,index,0,1,2,3,4,5
0,0,,,,,,
1,1,,,,,,
2,2,"121.959,49          ",163.500       ,"146.815,07       ","  ""UEB"" Darlehen","4.845.000,00     ","0,00     "
3,3,"99.591,27          ",187.000       ,"161.096,29       ",,,
4,4,"32.043,57          ",224.500       ,"194.824,13       ","  ""WAG"" - Wohnungsanlagen Gesellschaft m.b.H. Linz","48.327,56     ","47.328,32     "
5,5,"8.730,42          ",171.500       ,"202.876,55       ",,,
6,6,"209.804,34          ",746.500       ,"705.612,04       ","  ""GWG"" - Gemeinn. Wohnungsgesellschaft der Stadt Linz Ges.m.b.H.","2.130.481,42     ","2.098.538,13     "
7,7,"46.612,34          ",,,,,
8,8,"66.251,15          ",,,  Darlehen an Magistratsbedienstete,"3.212,15     ","3.010,18     "
9,9,"42.259,52          ",,,,,
10,10,"97.177,85          ",200.000       ,"177.241,03       ",  Darlehen an Private,"4.189,47     ","3.964,06     "
11,11,"44.192,73          ",214.000       ,"162.536,82       ",,,
12,12,"70.109,82          ",247.000       ,"251.368,33       ",  Linz AG - Hafenausbau,"2.332.558,21     ","2.242.263,14     "
13,13,"308.187,35          ",473.000       ,"569.733,83       ",                  Wasser- und Kanalbau,"694.764,61     ","694.764,61     "
14,14,"513.446,79          ",,,,,
15,15,"174.312,60          ",,,  Caritas - Heim St. Anna,"2.299.438,86     ","2.198.774,30     "
16,16,"26.099,88          ",1.374.200       ,"1.367.925,63       ",,,
17,17,"263.924,91          ",294.500       ,"322.669,36       ",  AKH - Betriebsmittel Darlehen,"10.000.000,00     ","10.000.000,00     "
18,18,"142.013,44          ",414.500       ,"401.073,86       ",,,
19,19,"130.940,86          ",,,  ILG - Investitionsprogramm 2009,"27.000.000,00     ","25.500.000,00     "
20,20,"10.768,97          ",,,,,
21,21,"47.963,11          ",328.000       ,"328.891,10       ",,"49.357.972,28     ","42.788.642,74     "
22,22,"42.731,98          ",257.500       ,"239.349,74       ",,,
23,23,"45.024,57          ",283.000       ,"308.386,14       ",,,
24,24,"15.501,30          ",450.800       ,"389.629,14       ",,,
25,25,"19.586,14          ",4.536.500       ,"4.518.804,98       ",,,
26,26,"45.899,78          ",-3.790.000       ,"-3.813.192,94       ",,,
27,27,"403.526,48          ",-26.000       ,"0,00       ",,,
28,28,"65.586,61          ",3.000.000       ,"3.000.000,00       ",,,
29,29,,-816.000       ,"-813.192,94       ",,,
30,30,,,,,,
31,31,,,,,,
32,32,,,,,,
33,33,,,,,,
34,34,,,,,,
35,35,"8.907,01          ",,,,,
36,36,"17.423,67          ",,,,,
37,37,"329.585,87          ",,,,,
38,38,"236.689,58          ",,,,,
39,39,"189.860,37          ",,,,,
40,40,"32.683,87          ",,,,,
41,41,"17.432,96          ",,,,,
42,42,"513.657,46          ",,,,,
43,43,"14.028,16          ",,,,,
44,44,"63.162,35          ",,,,,
45,45,"16.853,62          ",,,,,
46,46,"125.181,51          ",,,,,
47,47,"111.009,28          ",,,,,
48,48,"19.593,88          ",,,,,
49,49,"4.790.316,86          ",,,,,
50,50,,,,,,
51,51,,,,,,
52,52,,,,,,
53,53,,,,,,
54,54,,,,,,
55,55,Bedienstete TAB 0290 - Jahresdurchschnitt,,,,,
56,56,,,,,,
57,57,,,,,,
58,58,,,,,,
59,59,,,,,,
60,60,,,,,,
61,61,,,,,,
62,62,,,,,,
63,63,,,,,,
64,64,,,,,,
65,65,,,,,,
66,66,,,,,,
67,67,,,,,,
68,68,,,,,,
69,69,,,,,,
70,70,,,,,,
71,71,,,,,,
72,72,,,,,,
73,73,,,,,,
74,74,,,,,,
75,75,,,,,,
76,76,,,,,,
77,77,,,,,,
78,78,,,,,,
79,79,,,,,,
80,80,,,,,,
81,81,,,,,,
82,82,,,,,,
83,83,,,,,,
84,84,,,,,,
85,85,,,,,,
86,86,,,,,,
87,87,,,,,,
88,88,,,,,,
89,89,,,,,,
90,90,,,,,,
91,91,,,,,,
92,92,,,,,,
93,93,,,,,,
94,94,,,,,,
95,95,,,,,,
96,96,,,,,,
97,97,,,,,,
98,98,,,,,,
99,99,,,,,,
100,100,,,,,,
101,101,,,,,,
102,102,,,,,,
103,103,,,,,,
104,104,,,,,,
105,105,,,,,,
106,106,,,,,,
107,107,,,,,,
108,108,,,,,,
109,109,,,,,,
110,110,,,,,,
111,111,,,,,,
112,112,,,,,,
113,113,,,,,,
114,114,,,,,,
115,115,,,,,,
116,116,,,,,,
117,117,,,,,,
118,118,,,,,,
119,119,,,,,,
