,index,0,1,2,3,4,5,6,7
0,0,          0.00,      18353.13,      18353.13,       7534.68,      10818.45,          0.00,          0.00,      18353.13
1,1,          0.00,      18311.30,      18311.30,      16228.90,       2082.40,          0.00,       2688.70,          0.00
2,2,          0.00,       5966.63,       5966.63,       5966.63,          0.00,          0.00,          0.00,       5966.63
3,3,          0.00,      15646.74,      15646.74,      15646.74,          0.00,          0.00,          0.00,         46.74
4,4,          0.00,       1210.40,       1210.40,       1210.40,          0.00,          0.00,          0.00,       1110.40
5,5,        160.00,        169.47,        329.47,        294.47,         35.00,          0.00,        130.53,          0.00
6,6,        526.59,      25862.32,      26388.91,      23908.51,       2480.40,          0.00,          0.00,      10862.32
7,7,        274.03,       5102.66,       5376.69,       5376.69,          0.00,          0.00,       3197.34,          0.00
8,8,          0.00,        391.60,        391.60,        391.60,          0.00,          0.00,          0.00,        391.60
9,9,          0.00,          0.00,          0.00,          0.00,          0.00,          0.00,        200.00,          0.00
10,10,          0.00,        243.51,        243.51,        243.51,          0.00,          0.00,          0.00,        243.51
11,11,          0.00,        514.88,        514.88,        514.88,          0.00,          0.00,          0.00,        414.88
12,12,          0.00,        239.82,        239.82,        239.82,          0.00,          0.00,         60.18,          0.00
13,13,       1638.49,      12731.14,      14369.63,      13838.25,        531.38,          0.00,       2268.86,          0.00
14,14,          0.00,          0.00,          0.00,          0.00,          0.00,          0.00,       1000.00,          0.00
15,15,          0.00,      12996.21,      12996.21,      12996.21,          0.00,          0.00,       2003.79,          0.00
16,16,          0.00,      21912.95,      21912.95,      21872.29,         40.66,          0.00,          0.00,       1912.95
17,17,          0.00,        182.95,        182.95,        182.95,          0.00,          0.00,        517.05,          0.00
18,18,          0.00,        204.54,        204.54,        204.54,          0.00,          0.00,          0.00,          4.54
19,19,          0.00,     968363.79,     968363.79,     968363.79,          0.00,          0.00,          0.00,       6663.79
20,20,          0.00,     142421.33,     142421.33,     142421.33,          0.00,          0.00,       4778.67,          0.00
21,21,          0.00,    1926954.02,    1926954.02,    1926954.02,          0.00,          0.00,          0.00,     150654.02
22,22,          0.00,     360360.67,     360360.67,     360360.67,          0.00,          0.00,          0.00,      42860.67
23,23,          0.00,      46052.68,      46052.68,      46052.68,          0.00,          0.00,          0.00,       6352.68
24,24,          0.00,       7561.08,       7561.08,       7561.08,          0.00,          0.00,          0.00,       3561.08
25,25,          0.00,       4015.44,       4015.44,       4015.44,          0.00,          0.00,          0.00,       2815.44
26,26,          0.00,       5855.25,       5855.25,       5855.25,          0.00,          0.00,        344.75,          0.00
27,27,          0.00,       4220.22,       4220.22,       4220.22,          0.00,          0.00,      10779.78,          0.00
28,28,          0.00,        225.00,        225.00,        225.00,          0.00,          0.00,          0.00,        125.00
29,29,          0.00,        950.84,        950.84,        950.84,          0.00,          0.00,       1149.16,          0.00
30,30,          0.00,     149286.95,     149286.95,     149286.95,          0.00,          0.00,       7213.05,          0.00
31,31,          0.00,       2072.34,       2072.34,       2072.34,          0.00,          0.00,          0.00,        272.34
32,32,          0.00,     484623.90,     484623.90,     484623.90,          0.00,          0.00,          0.00,      40123.90
33,33,          0.00,      52978.21,      52978.21,      52978.21,          0.00,          0.00,          0.00,       6278.21
34,34,          0.00,       9776.30,       9776.30,       9776.30,          0.00,          0.00,          0.00,       1376.30
35,35,          0.00,      11507.13,      11507.13,      11507.13,          0.00,          0.00,       2592.87,          0.00
36,36,       8381.55,      19458.11,      27839.66,      25353.38,       2486.28,          0.00,       2441.89,          0.00
37,37,        457.40,       1306.56,       1763.96,       1370.77,        393.19,          0.00,        493.44,          0.00
38,38,      12549.22,      28073.09,      40622.31,      34429.43,       6192.88,          0.00,       6726.91,          0.00
39,39,          0.00,        134.92,        134.92,        134.92,          0.00,          0.00,          0.00,        134.92
40,40,      17638.53,      24482.07,      42120.60,      34140.83,       7979.77,          0.00,       4617.93,          0.00
41,41,          0.00,      20960.04,      20960.04,       9037.03,      11923.01,          0.00,          0.00,      19960.04
42,42,        157.31,          0.00,        157.31,        157.31,          0.00,          0.00,        600.00,          0.00
43,43,          0.00,       8781.44,       8781.44,        144.98,       8636.46,          0.00,          0.00,       8781.44
44,44,          0.00,        287.02,        287.02,        287.02,          0.00,          0.00,          0.00,        287.02
45,45,          0.00,       1766.60,       1766.60,       1766.60,          0.00,          0.00,       1233.40,          0.00
46,46,          0.00,          8.00,          8.00,          8.00,          0.00,          0.00,          0.00,          8.00
47,47,          0.00,          0.00,          0.00,          0.00,          0.00,          0.00,        200.00,          0.00
48,48,        304.98,       2113.25,       2418.23,       2089.05,        329.18,          0.00,       1886.75,          0.00
49,49,          0.00,      13677.71,      13677.71,      13677.71,          0.00,          0.00,       1322.29,          0.00
50,50,          0.00,          0.00,          0.00,          0.00,          0.00,          0.00,      16000.00,          0.00
51,51,          0.00,      16063.05,      16063.05,      14967.02,       1096.03,          0.00,          0.00,      16063.05
52,52,          0.00,       2153.51,       2153.51,       2153.51,          0.00,          0.00,         46.49,          0.00
53,53,       2908.01,       2783.83,       5691.84,       5691.84,          0.00,          0.00,        216.17,          0.00
54,54,       9000.65,      35085.23,      44085.88,      38503.86,       5582.02,          0.00,          0.00,      13285.23
55,55,        120.00,       1043.02,       1163.02,        706.12,        456.90,          0.00,        956.98,          0.00
56,56,          0.00,          0.00,          0.00,          0.00,          0.00,          0.00,        300.00,          0.00
57,57,          0.00,     145941.74,     145941.74,     145941.74,          0.00,          0.00,          0.00,       6641.74
58,58,          0.00,       9920.16,       9920.16,       6613.44,       3306.72,          0.00,          0.00,       9920.16
59,59,        199.45,       1345.37,       1544.82,       1544.82,          0.00,          0.00,          0.00,        545.37
