,index,0,1
0,0,Bundeshandelsakademie (Rudigierstraße 6),Bundeshandelsakademie (Rudigierstraße 6)
1,1,Bundeshandelsakademie (Aubrunnerweg 4),Bundeshandelsakademie (Aubrunnerweg 4)
2,2,Höhere technische Bundeslehranstalt (Goethestraße 17),Höhere technische Bundeslehranstalt (Goethestraße 17)
3,3,Höhere technische Bundeslehranstalt   (Paul-Hahn-Straße 4),Höhere technische Bundeslehranstalt   (Paul-Hahn-Straße 4)
4,4,Höhere Bundeslehranstalt für künstlerische Gestaltung (Garnisonstraße 25),Höhere Bundeslehranstalt für künstlerische Gestaltung (Garnisonstraße 25)
5,5,Höhere Bundeslehranstalt für Mode- und Bekleidungstechnik und für wirtschaftliche Berufe (Blütenstraße 23),Höhere Bundeslehranstalt für Mode- und Bekleidungstechnik und für wirtschaftliche Berufe (Blütenstraße 23)
6,6,Höhere Bundeslehranstalt für wirtschaftliche Berufe (Aubrunnerweg 4),Höhere Bundeslehranstalt für wirtschaftliche Berufe (Aubrunnerweg 4)
7,7,Höhere Bundeslehranstalt für wirtschaftliche Berufe (Landwiedstraße 80),Höhere Bundeslehranstalt für wirtschaftliche Berufe (Landwiedstraße 80)
8,8,Höhere Lehranstalt für wirtschaftliche Berufe des Schulvereins der Kreuzschwestern (Stockhofstraße 10),Höhere Lehranstalt für wirtschaftliche Berufe des Schulvereins der Kreuzschwestern (Stockhofstraße 10)
9,9,Fachschule für wirtschaftliche Berufe der Schwestern Oblatinnen des Heiligen Franz von Sales (Kapellenstraße 8-10),Fachschule für wirtschaftliche Berufe der Schwestern Oblatinnen des Heiligen Franz von Sales (Kapellenstraße 8-10)
10,10,Fachschule für Sozialberufe der Caritas der Diözese Linz (Schiefersederweg 53),Fachschule für Sozialberufe der Caritas der Diözese Linz (Schiefersederweg 53)
11,11,Höhere Bundeslehranstalt für Land- und Ernährungswirtschaft (Elmbergweg 65),Höhere Bundeslehranstalt für Land- und Ernährungswirtschaft (Elmbergweg 65)
